Name	Last	Chg. % 1D Chg. Abs.	Date Time	ISIN	Bid Volume	Ask Volume	Maturity	Status
AT&S Unda.Res.Fixed.Subo.Notes	87.220	0.00%0.000	07/08/2024 17:30:34	XS2432941693	- -	- -	open-end	D
OMV 6y Notes 19-25	96.670	+0.01%+0.010	07/08/2024 17:30:33	XS2022093434	- -	- -	07/03/2025	D
A1 TowersHold. 5,25%Notes23-28	104.130	+0.18%+0.190	07/08/2024 17:30:33	XS2644414125	- -	- -	07/13/2028	D
CA Immo 1% Green Bonds 20-25	94.900	+0.29%+0.270	07/08/2024 17:30:32	XS2248827771	- -	- -	10/27/2025	D
CA Immo 0,875% Anleihe 20-27	93.360	+0.77%+0.710	07/08/2024 17:30:32	XS2099128055	- -	- -	02/05/2027	D
OMV 0,75% Anleihe 20-30/S.19	86.580	+0.14%+0.120	07/08/2024 17:30:32	XS2189613982	- -	- -	06/16/2030	D
VERBUND 3,25% Green N. 24-31	100.300	+0.03%+0.030	07/08/2024 17:30:30	XS2821745374	- -	- -	05/17/2031	D
Borealis 1,75 % Notes 18-25	98.030	+1.01%+0.980	07/08/2024 17:30:29	AT0000A24UY3	- -	- -	12/10/2025	D
Wienerberger Sust.Link.B.23-28	104.350	-0.19%-0.200	07/08/2024 17:30:28	AT0000A37249	- -	- -	10/04/2028	D
Telek.Fin.1,5% Anl. 16-26	96.180	-0.02%-0.020	07/08/2024 17:30:27	XS1405762805	- -	- -	12/07/2026	D
OMV AG 1.875% Notes 18-28/S11	94.090	+0.04%+0.040	07/08/2024 17:30:26	XS1917590959	- -	- -	12/04/2028	D
OMV 3,5% Anl. 12-27/S.6	100.450	-0.01%-0.010	07/08/2024 17:30:21	XS0834371469	- -	- -	09/27/2027	D
VERBUND 0,9%Green+Sust.N.21-41	66.130	+0.08%+0.050	07/08/2024 17:30:21	XS2320746394	- -	- -	04/01/2041	D
voestalpine 1,75% Anl.19-26/S1	96.600	-0.02%-0.020	07/08/2024 17:30:18	AT0000A27LQ1	- -	- -	04/10/2026	D
OMV 15y Notes 19-34	78.680	+0.11%+0.090	07/08/2024 17:30:18	XS2022093517	- -	- -	07/03/2034	D
VERBUND 1,50 %  Notes 14-24	99.820	0.00%0.000	07/08/2024 17:30:17	XS1140300663	- -	- -	11/20/2024	D
1,375%voestalpine-Anl.17-24/S1	99.270	-0.05%-0.050	07/08/2024 17:30:17	AT0000A1Y3P7	- -	- -	09/27/2024	D
PORR Und.Res,Fix R.Subo.N.2024	108.260	0.00%0.000	07/08/2024 17:30:15	AT0000A39724	- -	- -	open-end	D
Pierer Industrie 2,5%Anl.20-28	94.480	0.00%0.000	07/08/2024 17:30:14	AT0000A2JSQ5	- -	- -	04/22/2028	D
OMV 2,375% Anleihe 20-32/S.17	94.270	+0.11%+0.100	07/08/2024 17:30:10	XS2154348424	- -	- -	04/09/2032	D
Wienerberger 2,75% Bonds 20-25	98.680	+0.10%+0.100	07/08/2024 17:30:09	AT0000A2GLA0	- -	- -	06/04/2025	D
OMV 2% Anleihe 20-28/S.16	95.820	+0.01%+0.010	07/08/2024 17:30:09	XS2154347707	- -	- -	04/09/2028	D
OMV 1% Fi.Rate Notes 17-26/S.9	94.840	-0.01%-0.010	07/08/2024 17:30:08	XS1734689620	- -	- -	12/14/2026	D
HVbg 0,02% Notes 20-24/S.208	97.150	0.00%0.000	07/08/2024 17:00:21	XS2240271846	97.150 -	99.150 -	10/01/2024	D
HVbg 1,8% CZKGreenBd 20-25/186	95.700	0.00%0.000	07/08/2024 17:00:21	XS2126053953	95.700 -	97.700 -	03/05/2025	D
HVbg 1,02% SV 20-35/DIP S183	72.250	+0.21%+0.150	07/08/2024 17:00:21	XS2104132514	72.250 -	74.250 -	01/17/2035	D
HVbg 0,375% Notes 20-30/S.212	78.850	+0.13%+0.100	07/08/2024 17:00:21	XS2252219105	78.850 -	80.850 -	11/04/2030	D
HVbg 0,23% Notes 21-29/S.219	83.000	+0.12%+0.100	07/08/2024 17:00:21	XS2327980509	83.000 -	85.000 -	04/06/2029	D
HypoVbg 0,36% IHS 20-26/S.182	92.900	+0.05%+0.050	07/08/2024 17:00:21	XS2100387526	92.900 -	94.900 -	01/09/2026	D
HVbg var SV 19-29/S.175	96.050	0.00%0.000	07/08/2024 17:00:20	XS2037749749	96.050 -	98.050 -	08/07/2029	D
HVbg 0,86% Anl. 19-34/S.179	72.600	+0.28%+0.200	07/08/2024 17:00:20	XS2069329964	72.600 -	74.600 -	10/24/2034	D
HVbg Fix/Swap-li-FRN 18-28/163	91.500	0.00%0.000	07/08/2024 17:00:20	XS1915000753	91.500 -	94.500 -	11/27/2028	D
HVbg var-SV 19-29/S.170	95.200	+0.05%+0.050	07/08/2024 17:00:20	XS2002726847	95.200 -	97.200 -	05/27/2029	D
HVbg 0,741% Anl.19-36/S.178	67.000	+0.22%+0.150	07/08/2024 17:00:20	XS2066563524	67.000 -	69.000 -	10/16/2036	D
HVbg Fix/Swap-li-FRN 18-28/158	90.150	+0.06%+0.050	07/08/2024 17:00:19	XS1859330752	90.150 -	93.150 -	07/24/2028	D
HVbg fix/swap Rate Notes 01-31	94.750	0.00%0.000	07/08/2024 17:00:19	XS0132540955	94.750 -	96.750 -	07/11/2031	D
HVbg Fix/Swap-li-FRN 18-28/161	91.850	0.00%0.000	07/08/2024 17:00:19	XS1892228401	91.850 -	94.850 -	10/11/2028	D
